country_code,latitude,longitude,country,region,income_group
MCO,43.750298,7.412841,Monaco,Europe & Central Asia,High income
MNG,46.862496,103.846656,Mongolia,East Asia & Pacific,Upper middle income
MNE,42.708678,19.37439,Montenegro,Europe & Central Asia,Upper middle income
MAR,31.791702,-7.09262,Morocco,Middle East & North Africa,Lower middle income
MOZ,-18.665695,35.529562,Mozambique,Sub-Saharan Africa,Low income
MMR,21.913965,95.956223,Myanmar [Burma],East Asia & Pacific,Lower middle income
NAM,-22.95764,18.49041,Namibia,Sub-Saharan Africa,Upper middle income
NRU,-0.522778,166.931503,Nauru,East Asia & Pacific,High income
NPL,28.394857,84.124008,Nepal,South Asia,Lower middle income
NLD,52.132633,5.291266,Netherlands,Europe & Central Asia,High income
NCL,-20.904305,165.618042,New Caledonia,East Asia & Pacific,High income
NZL,-40.900557,174.885971,New Zealand,East Asia & Pacific,High income
NIC,12.865416,-85.207229,Nicaragua,Latin America & Caribbean,Lower middle income
NER,17.607789,8.081666,Niger,Sub-Saharan Africa,Low income
NGA,9.081999,8.675277,Nigeria,Sub-Saharan Africa,Lower middle income
PRK,40.339852,127.510093,North Korea,East Asia & Pacific,Low income
MNP,17.33083,145.38469,Northern Mariana Islands,East Asia & Pacific,High income
NOR,60.472024,8.468946,Norway,Europe & Central Asia,High income
OMN,21.512583,55.923255,Oman,Middle East & North Africa,High income
PAK,30.375321,69.345116,Pakistan,South Asia,Lower middle income
PLW,7.51498,134.58252,Palau,East Asia & Pacific,High income
PAN,8.537981,-80.782127,Panama,Latin America & Caribbean,High income
PNG,-6.314993,143.95555,Papua New Guinea,East Asia & Pacific,Lower middle income
PRY,-23.442503,-58.443832,Paraguay,Latin America & Caribbean,Upper middle income
PER,-9.189967,-75.015152,Peru,Latin America & Caribbean,Upper middle income
PHL,12.879721,121.774017,Philippines,East Asia & Pacific,Lower middle income
POL,51.919438,19.145136,Poland,Europe & Central Asia,High income
PRT,39.399872,-8.224454,Portugal,Europe & Central Asia,High income
PRI,18.220833,-66.590149,Puerto Rico,Latin America & Caribbean,High income
QAT,25.354826,51.183884,Qatar,Middle East & North Africa,High income
ROU,45.943161,24.96676,Romania,Europe & Central Asia,High income
